SOLUTION 1 blocks=19
SOLUTION 63 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 9 11
3 5 12
3 13 14
4 14 15
5 16 17
6 17 18
7 8 17
7 15 16
8 13 18
9 12 13
10 11 15
10 14 18
11 12 16
SOLUTION 64 blocks=19
0 1 2
0 3 4
0 5 6
1 4 7
1 8 9
2 6 10
2 9 11
3 5 12
3 13 14
4 14 15
5 16 17
6 17 18
7 8 18
7 15 17
8 12 13
9 12 16
10 11 14
10 13 18
11 15 16
SOLUTION 65 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 8 11
3 12 13
4 6 14
4 12 15
5 16 17
6 16 18
7 9 12
7 15 17
8 14 18
9 13 18
10 11 17
10 13 16
11 14 15
SOLUTION 66 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 8 11
3 12 13
4 6 14
4 12 15
5 16 17
6 16 18
7 9 13
7 12 17
8 14 15
9 14 18
10 11 16
10 13 18
11 15 17
SOLUTION 67 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 8 11
3 12 13
4 6 14
4 12 15
5 16 17
6 17 18
7 9 12
7 15 16
8 14 18
9 13 18
10 11 16
10 13 17
11 14 15
SOLUTION 68 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 8 11
3 12 13
4 6 14
4 12 15
5 16 17
6 17 18
7 9 13
7 12 16
8 14 15
9 14 18
10 11 17
10 13 18
11 15 16
SOLUTION 69 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 8 11
3 12 13
4 6 14
4 13 15
5 16 17
6 16 18
7 9 12
7 13 17
8 14 15
9 14 18
10 11 16
10 12 18
11 15 17
SOLUTION 70 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 8 11
3 12 13
4 6 14
4 13 15
5 16 17
6 16 18
7 9 13
7 15 17
8 14 18
9 12 18
10 11 17
10 12 16
11 14 15
SOLUTION 71 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 8 11
3 12 13
4 6 14
4 13 15
5 16 17
6 17 18
7 9 12
7 13 16
8 14 15
9 14 18
10 11 17
10 12 18
11 15 16
SOLUTION 72 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 8 11
3 12 13
4 6 14
4 13 15
5 16 17
6 17 18
7 9 13
7 15 16
8 14 18
9 12 18
10 11 16
10 12 17
11 14 15
SOLUTION 73 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 9 11
3 12 13
4 6 14
4 12 15
5 16 17
6 16 18
7 8 12
7 15 17
8 13 18
9 14 18
10 11 17
10 13 16
11 14 15
SOLUTION 74 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 9 11
3 12 13
4 6 14
4 12 15
5 16 17
6 16 18
7 8 13
7 12 17
8 14 18
9 14 15
10 11 16
10 13 18
11 15 17
SOLUTION 75 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 9 11
3 12 13
4 6 14
4 12 15
5 16 17
6 17 18
7 8 12
7 15 16
8 13 18
9 14 18
10 11 16
10 13 17
11 14 15
SOLUTION 76 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 9 11
3 12 13
4 6 14
4 12 15
5 16 17
6 17 18
7 8 13
7 12 16
8 14 18
9 14 15
10 11 17
10 13 18
11 15 16
SOLUTION 77 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 9 11
3 12 13
4 6 14
4 13 15
5 16 17
6 16 18
7 8 12
7 13 17
8 14 18
9 14 15
10 11 16
10 12 18
11 15 17
SOLUTION 78 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 9 11
3 12 13
4 6 14
4 13 15
5 16 17
6 16 18
7 8 13
7 15 17
8 12 18
9 14 18
10 11 17
10 12 16
11 14 15
SOLUTION 79 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 9 11
3 12 13
4 6 14
4 13 15
5 16 17
6 17 18
7 8 12
7 13 16
8 14 18
9 14 15
10 11 17
10 12 18
11 15 16
SOLUTION 80 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 3 10
2 9 11
3 12 13
4 6 14
4 13 15
5 16 17
6 17 18
7 8 13
7 15 16
8 12 18
9 14 18
10 11 16
10 12 17
11 14 15
SOLUTION 81 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 8 11
3 6 12
3 13 14
4 13 15
5 16 17
6 16 18
7 9 13
7 14 17
8 12 18
9 15 18
10 11 17
10 15 16
11 12 14
SOLUTION 82 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 8 11
3 6 12
3 13 14
4 13 15
5 16 17
6 16 18
7 9 15
7 13 17
8 12 14
9 12 18
10 11 16
10 15 18
11 14 17
SOLUTION 83 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 8 11
3 6 12
3 13 14
4 13 15
5 16 17
6 17 18
7 9 13
7 14 16
8 12 18
9 15 18
10 11 16
10 15 17
11 12 14
SOLUTION 84 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 8 11
3 6 12
3 13 14
4 13 15
5 16 17
6 17 18
7 9 15
7 13 16
8 12 14
9 12 18
10 11 17
10 15 18
11 14 16
SOLUTION 85 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 8 11
3 6 12
3 13 14
4 14 15
5 16 17
6 16 18
7 9 14
7 13 17
8 12 18
9 15 18
10 11 17
10 15 16
11 12 13
SOLUTION 86 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 8 11
3 6 12
3 13 14
4 14 15
5 16 17
6 16 18
7 9 15
7 14 17
8 12 13
9 12 18
10 11 16
10 15 18
11 13 17
SOLUTION 87 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 8 11
3 6 12
3 13 14
4 14 15
5 16 17
6 17 18
7 9 14
7 13 16
8 12 18
9 15 18
10 11 16
10 15 17
11 12 13
SOLUTION 88 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 8 11
3 6 12
3 13 14
4 14 15
5 16 17
6 17 18
7 9 15
7 14 16
8 12 13
9 12 18
10 11 17
10 15 18
11 13 16
SOLUTION 89 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 9 11
3 6 12
3 13 14
4 13 15
5 16 17
6 16 18
7 8 13
7 14 17
8 15 18
9 12 18
10 11 17
10 15 16
11 12 14
SOLUTION 90 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 9 11
3 6 12
3 13 14
4 13 15
5 16 17
6 16 18
7 8 15
7 13 17
8 12 18
9 12 14
10 11 16
10 15 18
11 14 17
SOLUTION 91 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 9 11
3 6 12
3 13 14
4 13 15
5 16 17
6 17 18
7 8 13
7 14 16
8 15 18
9 12 18
10 11 16
10 15 17
11 12 14
SOLUTION 92 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 9 11
3 6 12
3 13 14
4 13 15
5 16 17
6 17 18
7 8 15
7 13 16
8 12 18
9 12 14
10 11 17
10 15 18
11 14 16
SOLUTION 93 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 9 11
3 6 12
3 13 14
4 14 15
5 16 17
6 16 18
7 8 14
7 13 17
8 15 18
9 12 18
10 11 17
10 15 16
11 12 13
SOLUTION 94 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 9 11
3 6 12
3 13 14
4 14 15
5 16 17
6 16 18
7 8 15
7 14 17
8 12 18
9 12 13
10 11 16
10 15 18
11 13 17
SOLUTION 95 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 9 11
3 6 12
3 13 14
4 14 15
5 16 17
6 17 18
7 8 14
7 13 16
8 15 18
9 12 18
10 11 16
10 15 17
11 12 13
SOLUTION 96 blocks=19
0 1 2
0 3 4
0 5 6
1 5 7
1 8 9
2 4 10
2 9 11
3 6 12
3 13 14
4 14 15
5 16 17
6 17 18
7 8 15
7 14 16
8 12 18
9 12 13
10 11 17
10 15 18
11 13 16
SOLUTION 97 blocks=19
0 1 2
0 3 4
0 5 6
1 6 7
1 8 9
2 3 10
2 8 11
3 12 13
4 5 14
4 12 15
5 16 17
6 16 18
7 9 12
7 15 18
8 14 17
9 13 17
10 11 18
10 13 16
11 14 15
SOLUTION 98 blocks=19
0 1 2
0 3 4
0 5 6
1 6 7
1 8 9
2 3 10
2 8 11
3 12 13
4 5 14
4 12 15
5 16 17
6 16 18
7 9 13
7 12 18
8 14 15
9 14 17
10 11 16
10 13 17
11 15 18
SOLUTION 99 blocks=19
0 1 2
0 3 4
0 5 6
1 6 7
1 8 9
2 3 10
2 8 11
3 12 13
4 5 14
4 12 15
5 16 17
6 17 18
7 9 12
7 15 18
8 14 16
9 13 16
10 11 18
10 13 17
11 14 15
SOLUTION 100 blocks=19
0 1 2
0 3 4
0 5 6
1 6 7
1 8 9
2 3 10
2 8 11
3 12 13
4 5 14
4 12 15
5 16 17
6 17 18
7 9 13
7 12 18
8 14 15
9 14 16
10 11 17
10 13 16
11 15 18
SOLUTION 101 blocks=19
0 1 2
0 3 4
0 5 6
1 6 7
1 8 9
2 3 10
2 8 11
3 12 13
4 5 14
4 13 15
5 16 17
6 16 18
7 9 12
7 13 18
8 14 15
9 14 17
10 11 16
10 12 17
11 15 18
SOLUTION 102 blocks=19
0 1 2
0 3 4
0 5 6
1 6 7
1 8 9
2 3 10
2 8 11
3 12 13
4 5 14
4 13 15
5 16 17
6 16 18
7 9 13
7 15 18
8 14 17
9 12 17
10 11 18
10 12 16
11 14 15
SOLUTION 103 blocks=19
0 1 2
0 3 4
0 5 6
1 6 7
1 8 9
2 3 10
2 8 11
3 12 13
4 5 14
4 13 15
5 16 17
6 17 18
7 9 12
7 13 18
8 14 15
9 14 16
10 11 17
10 12 16
11 15 18
SOLUTION 104 blocks=19
0 1 2
0 3 4
0 5 6
1 6 7
1 8 9
2 3 10
2 8 11
3 12 13
4 5 14
4 13 15
5 16 17
6 17 18
7 9 13
7 15 18
8 14 16
9 12 16
10 11 18
10 12 17
11 14 15
SOLUTION 105 blocks=19
0 1 2
0 3 4
0 5 6
1 6 7
1 8 9
2 3 10
2 9 11
3 12 13
4 5 14
4 12 15
5 16 17
6 16 18
7 8 12
7 15 18
8 13 17
9 14 17
10 11 18
10 13 16
11 14 15
SOLUTION 106 blocks=19
0 1 2
0 3 4
0 5 6
1 6 7
1 8 9
2 3 10
2 9 11
3 12 13
4 5 14
4 12 15
5 16 17
6 16 18
7 8 13
7 12 18
8 14 17
9 14 15
10 11 16
10 13 17
11 15 18
SOLUTION 107 blocks=19
0 1 2
0 3 4
0 5 6
1 6 7
1 8 9
2 3 10
2 9 11
3 12 13
4 5 14
4 12 15
5 16 17
6 17 18
7 8 12
7 15 18
8 13 16
9 14 16
10 11 18
10 13 17
11 14 15
SOLUTION 108 blocks=19
0 1 2
0 3 4
0 5 6
1 6 7
1 8 9
2 3 10
2 9 11
3 12 13
4 5 14
4 12 15
5 16 17
6 17 18
7 8 13
7 12 18
8 14 16
9 14 15
10 11 17
10 13 16
11 15 18
SOLUTION 109 blocks=19
0 1 2
