86 2 40 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,7,11;3,12,13;4,10,14;4,15,16;5,17,18;6,19,20;6,21,22;7,20,21;8,17,23;8,18,24;9,25,26;9,27,28;10,26,27
87 2 41 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,7,11;3,12,13;4,10,14;4,15,16;5,17,18;6,19,20;6,21,22;7,20,21;8,17,23;8,18,24;9,25,26;9,27,28;10,26,28
88 2 42 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,7,11;3,12,13;4,10,14;4,15,16;5,17,18;6,19,20;6,21,22;7,20,22;8,17,23;8,18,24;9,25,26;9,27,28;10,25,27
89 2 43 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,7,11;3,12,13;4,10,14;4,15,16;5,17,18;6,19,20;6,21,22;7,20,22;8,17,23;8,18,24;9,25,26;9,27,28;10,25,28
90 2 44 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,7,11;3,12,13;4,10,14;4,15,16;5,17,18;6,19,20;6,21,22;7,20,22;8,17,23;8,18,24;9,25,26;9,27,28;10,26,27
91 2 45 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,5,8;2,9,10;3,7,11;3,12,13;4,10,14;4,15,16;5,17,18;6,19,20;6,21,22;7,20,22;8,17,23;8,18,24;9,25,26;9,27,28;10,26,28
92 2 46 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,8,13;4,14,15;5,6,16;5,17,18;6,19,20;7,19,21;7,20,22;8,23,24;9,23,25;9,24,26;10,11,27;10,12,28
93 2 47 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,8,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,19,21;8,23,24;9,23,25;9,24,26;10,11,27;10,12,28
94 2 48 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,8,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,19,22;8,23,24;9,23,25;9,24,26;10,11,27;10,12,28
95 2 49 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,8,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,20,21;8,23,24;9,23,25;9,24,26;10,11,27;10,12,28
96 2 50 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,8,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,20,22;8,23,24;9,23,25;9,24,26;10,11,27;10,12,28
97 2 51 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,6,16;5,17,18;6,19,20;7,19,21;7,20,22;8,23,24;8,25,26;9,23,25;10,11,27;10,12,28
98 2 52 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,6,16;5,17,18;6,19,20;7,19,21;7,20,22;8,23,24;8,25,26;9,23,26;10,11,27;10,12,28
99 2 53 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,6,16;5,17,18;6,19,20;7,19,21;7,20,22;8,23,24;8,25,26;9,24,25;10,11,27;10,12,28
100 2 54 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,6,16;5,17,18;6,19,20;7,19,21;7,20,22;8,23,24;8,25,26;9,24,26;10,11,27;10,12,28
101 2 55 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,19,21;8,23,24;8,25,26;9,23,25;10,11,27;10,12,28
102 2 56 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,19,21;8,23,24;8,25,26;9,23,26;10,11,27;10,12,28
103 2 57 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,19,21;8,23,24;8,25,26;9,24,25;10,11,27;10,12,28
104 2 58 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,19,21;8,23,24;8,25,26;9,24,26;10,11,27;10,12,28
105 2 59 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,19,22;8,23,24;8,25,26;9,23,25;10,11,27;10,12,28
106 2 60 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,19,22;8,23,24;8,25,26;9,23,26;10,11,27;10,12,28
107 2 61 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,19,22;8,23,24;8,25,26;9,24,25;10,11,27;10,12,28
108 2 62 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,19,22;8,23,24;8,25,26;9,24,26;10,11,27;10,12,28
109 2 63 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,20,21;8,23,24;8,25,26;9,23,25;10,11,27;10,12,28
110 2 64 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,20,21;8,23,24;8,25,26;9,23,26;10,11,27;10,12,28
111 2 65 29 11 0,1,3;1,2,4;0,2,5;0,6,7;1,8,9;2,3,10;3,11,12;4,9,13;4,14,15;5,7,16;5,17,18;6,19,20;6,21,22;7,20,21;8,23,24;8,25,26;9,24,25;10,11,27;10,12,28
